"","Accession","Latitude","Longitude","offset_1","offset_2","offset_3","offset_4","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","SEEDGWAS10",19.938631,-96.87067,0.000456642841454447,0.000750297946018152,0.000843686656330627,0.0035784070058694,0.00296199591572216,0.00164657528890309,0.00101850483331006,0.000782849088696334,0.000197807474020217,0.000709730406181078,0.00218813293693123,0.00169125542719018,0.00145531767912996,0.00157393001162988,0.000856373537095821,0.00120246007345378,0.00262544029123898,0.000650161642563104,0.000873107430664098,0.0028752679516071,0.0027708647711823
"2","SEEDGWAS1000",21.83299,-99.634229,0.00417618040040121,0.00477954664543171,0.00258800642007189,0.00259795116973125,0.00353274060677485,0.00471657398879105,0.00233730552999995,0.00528253383135345,0.00161009575132815,0.00174450128827968,0.00349825694983196,0.00514916463439256,0.00210852331949425,0.00387983714019976,0.00410902298789088,0.00137009433440051,0.0100805161241483,0.00704611543910322,0.0031492120963553,0.00373424349714053,0.00470584209437742
"3","SEEDGWAS1001",22.023366,-99.653771,0.00417618040040121,0.00477954664543171,0.00258800642007189,0.00259795116973125,0.00353274060677485,0.00471657398879105,0.00233730552999995,0.00528253383135345,0.00161009575132815,0.00174450128827968,0.00349825694983196,0.00514916463439256,0.00210852331949425,0.00387983714019976,0.00410902298789088,0.00137009433440051,0.0100805161241483,0.00704611543910322,0.0031492120963553,0.00373424349714053,0.00470584209437742
"4","SEEDGWAS1003",20.485433,-89.732539,0.00538014475541062,0.0115660010540224,0.00570686473853139,0.00960164887471368,0.00552841186214222,0.00649412344594669,0.0131717252660236,0.00304468406383996,0.00330279274922335,0.0116347451903386,0.00639321857329146,0.00799090230413883,0.00670745260474349,0.0062400804637755,0.0061838475917238,0.00587159428672367,0.00618249074478865,0.00483007339352435,0.00737845070742317,0.00435406791979713,0.00932266001656249
"5","SEEDGWAS1004",20.969048,-97.382255,0.00137312216515102,0.00050864983243395,0.00119545585331868,0.00215498926483502,0.00278818760114834,0.00132592954279395,0.00136563990547211,0.000729322271527166,0.000853799905307558,0.00120023293555391,0.00174845671110382,0.00324949095580994,0.00174114760624269,0.00143627761729026,0.000860134874354122,0.000610595488134875,0.00256323391480447,0.00076633213714887,0.00125067018103593,0.00177640386211138,0.00170003773006936
"6","SEEDGWAS1006",-23.267981,-57.309104,0.00470405189147333,0.00413885913334124,0.00263142412279641,0.00192004921411393,0.00419540078945294,0.00471989090583598,0.00506208617770155,0.00274375241993247,0.00459783835544699,0.00195323419949822,0.00793619937303364,0.0069819971855199,0.00318945734369998,0.00215200018367327,0.00837139984132009,0.00461438002349699,0.00532331499992959,0.00260238464191158,0.004735050353529,0.00290279023910451,0.00921366617772303
"7","SEEDGWAS1008",3.85,-74.91666667,0.00436149504010862,0.00220322406028769,0.00366545085840864,0.00210949668610837,0.00189657512438414,0.00318037020263602,0.00217968814889077,0.00127365321414792,0.00187146966678746,0.00162027488429156,0.00135384378299159,0.00223817148453093,0.00147311353418531,0.00212743627143607,0.00138279398883912,0.00084212426349168,0.00177641985965546,0.000879792676620593,0.0005673037036034,0.00105859015753454,0.00132924592728794
"8","SEEDGWAS1009",19.58333333,-88.05,0.00529311477584114,0.00681752355545011,0.00402633147853193,0.00330240538613839,0.0039025069855178,0.00212456246632206,0.00845793146864453,0.00355264619604811,0.00243739103187901,0.00630828317773531,0.0131107867476322,0.0100095682263378,0.00521456650050138,0.00651772657685477,0.004435063030175,0.00225679786604103,0.00690499920103237,0.00468513065181036,0.00349751496267768,0.00263978620351247,0.00495566586648291
"9","SEEDGWAS101",20.43027778,-97.382222,0.000456642841454447,0.000750297946018152,0.000843686656330627,0.0035784070058694,0.00296199591572216,0.00164657528890309,0.00101850483331006,0.000782849088696334,0.000197807474020217,0.000709730406181078,0.00218813293693123,0.00169125542719018,0.00145531767912996,0.00157393001162988,0.000856373537095821,0.00120246007345378,0.00262544029123898,0.000650161642563104,0.000873107430664098,0.0028752679516071,0.0027708647711823
"10","SEEDGWAS1011",16.332904,-92.564373,0.00327663396442684,0.00323629217565333,0.00235075455238665,0.00319904355696499,0.00202264940453768,0.00320533716018712,0.00343408685085119,0.00222490247483685,0.0015269134716758,0.00231267769015478,0.00209534232273738,0.0103054665627557,0.00912643215191812,0.0120739855238325,0.0062587167540463,0.00125526492054393,0.00156561113144781,0.00193380357562223,0.0027270414071928,0.002650808687646,0.00364588651012152
"11","SEEDGWAS1012",16.332904,-92.564373,0.00327663396442684,0.00323629217565333,0.00235075455238665,0.00319904355696499,0.00202264940453768,0.00320533716018712,0.00343408685085119,0.00222490247483685,0.0015269134716758,0.00231267769015478,0.00209534232273738,0.0103054665627557,0.00912643215191812,0.0120739855238325,0.0062587167540463,0.00125526492054393,0.00156561113144781,0.00193380357562223,0.0027270414071928,0.002650808687646,0.00364588651012152
"12","SEEDGWAS1014",21.51666667,-98.38333333,0.00137312216515102,0.00050864983243395,0.00119545585331868,0.00215498926483502,0.00278818760114834,0.00132592954279395,0.00136563990547211,0.000729322271527166,0.000853799905307558,0.00120023293555391,0.00174845671110382,0.00324949095580994,0.00174114760624269,0.00143627761729026,0.000860134874354122,0.000610595488134875,0.00256323391480447,0.00076633213714887,0.00125067018103593,0.00177640386211138,0.00170003773006936
